id,title,serving,post_hit,created_at,updated_at,cate1,cate2,cate3,user_id
6,집에서 간단하게 만드는 언양식 바싹 불고기 레시피,1,0,2023-11-26 00:00:00.000001,2023-11-26 00:00:00.000001,한식,일상,돼지고기,1
7,들기름 막국수에 이걸 추가하니까 완전 고급스러운 한식집 메뉴가 되었습니다.,1,0,2023-11-24 00:00:00.000001,2023-11-24 00:00:00.000001,한식,일상,면,1
15,"여름철에만 먹을 수 있는 호박잎쌈밥 레시피, 묵은지 강된장 레시피",1,0,2023-06-24 00:00:00.000001,2023-06-24 00:00:00.000001,한식,일상,채소,1
18,"가성비 앞다리살로 냄새 없는 수육 만드는 방법, 초간단 보쌈김치 레시피",1,0,2023-06-22 00:00:00.000001,2023-06-22 00:00:00.000001,한식,원팬/스피디,채소,1
31,"불족발 먹고 싶을 때 반의 반 가격으로 비슷하게 만들어먹는 방법, 매운돼지꼬리찜 레시피",1,0,2023-05-16 00:00:00.000001,2023-05-16 00:00:00.000001,한식,술안주,돼지고기,1
82,"마라탕과 열라면이 만났다 마라라면 만드는 방법, 마라소스 입문자용 마라열라면 레시피",1,0,2022-08-25 00:00:00.000001,2022-08-25 00:00:00.000001,기타,일상,밀가루,1
83,일반 냉면이 지겨울 때쯤 중화면으로 즐기는 중국 냉면 레시피,1,0,2023-07-22 00:00:00.000001,2023-07-22 00:00:00.000001,기타,일상,면,1
84,이거 하나만으로 밥 두 공기 먹기 충분한 짜장두부조림 레시피,1,0,2023-05-17 00:00:00.000001,2023-05-17 00:00:00.000001,기타,일상,콩/견과류,1
131,"마제소바 레시피, 쉽게 설명하면 부추 듬뿍 올린 소고기 볶음국수 만들기",1.5,0,2022-08-17 00:00:00.000001,2022-08-17 00:00:00.000001,일식,일상,소고기,1
132,한국식 장조림보다 훨씬 부드러운 일본식 통삼겹 간장조림 레시피,4,0,2022-04-17 00:00:00.000001,2022-04-17 00:00:00.000001,일식,일상,돼지고기,1
133,"집에서 후라이팬으로 타코야끼 간단하게 만드는 방법, 일본식 타코야키 레시피",1,0,2022-05-22 00:00:00.000001,2022-05-22 00:00:00.000001,일식,술안주,밀가루,1
134,"일본식 삼겹살 계란말이 만드는 방법, 돈페이야끼 레시피",1,0,2022-12-12 00:00:00.000001,2022-12-12 00:00:00.000001,일식,술안주,돼지고기,1
135,돈까스를 이용한 김치나베 레시피,1,0,2023-03-09 00:00:00.000001,2023-03-09 00:00:00.000001,일식,원팬/스피디,가공식품류,1
136,횟감용 연어와 유부초밥을 이용한 레시피,1,0,2023-03-10 00:00:00.000001,2023-03-10 00:00:00.000001,일식,원팬/스피디,가공식품류,1
